"id","name","category","location","description","contact","source","website","instagram"
"71","Muslimah Adventures UK","Travel","Online","Women-only travel & adventure experiences for Muslim women","","Excel Import","","https://www.instagram.com/muslimahadventuresuk"
"72","Sisters Travel Circle","Travel","Online","Muslim-women-led travel community offering group trips","","Excel Import","","https://www.instagram.com/sisterstravelcircle"
"73","Halal Getaways UK","Travel","Online","Muslimah-owned halal-friendly UK staycation planning","","Excel Import","","https://www.instagram.com/halalgetawaysuk"
"74","Sisters Retreats London","Travel","Online","Muslim-women-led wellness & travel retreats","","Excel Import","","https://www.instagram.com/sistersretreatslondon"
"75","The Modest Traveller","Travel","Online","Muslimah travel blogger offering curated London experiences","","Excel Import","","https://www.instagram.com/themodesttraveller"
"76","Sisters Day Out London","Travel","Online","Muslim-women-led London day trips & cultural tours","","Excel Import","","https://www.instagram.com/sistersdayoutlondon"
"77","Hijabi Travel Club","Travel","Online","Muslim-women-only travel meetups & group trips","","Excel Import","","https://www.instagram.com/hijabitravelclub"
"78","Sisters Walking Tours London","Travel","Online","Women-only guided walking tours led by Muslim women","","Excel Import","","https://www.instagram.com/sisterswalkslondon"
"79","Muslimah Solo Travel UK","Travel","Online","Solo travel support & London meetups for Muslim women","","Excel Import","","https://www.instagram.com/muslimahsolotraveluk"
"80","Sisters Adventure Club","Travel","Online","Muslim-women-led outdoor activities & UK travel days","","Excel Import","","https://www.instagram.com/sistersadventureclub"
"81","@HalalLondonExplorer","Travel","Online","Muslimah-led London tourism tips & halal travel guides","","Excel Import","","https://www.instagram.com/HalalLondonExplorer"
"82","Sisters Culture Walks","Travel","Online","Muslim-women-led cultural & historical walking tours","","Excel Import","","https://www.instagram.com/sistersculturewalks"
"83","Muslimah Heritage Tours","Travel","Online","Women-only Islamic history tours in London","","Excel Import","","https://www.instagram.com/muslimahtours"
"84","Sisters City Breaks UK","Travel","Online","Muslim-women-led UK city trips & group travel","","Excel Import","","https://www.instagram.com/sisterscitybreaksuk"
"85","Sisters Travel Concierge","Travel","Online","Muslimah-led bespoke travel planning & itinerary services","","Excel Import","","https://www.instagram.com/sisterstravelconcierge"
"86","Bethnal Green Spa Experience","Health & Beauty","Bethnal Green, London","Spa offering women-only days and Turkish hammam experience","See website for women-only schedule","Muslim Connect",,
"87","The Organic Pharmacy Spa","Health & Beauty","Chelsea, London","All-natural, alcohol-free products with private treatment rooms available","Phone booking required for private rooms","Muslim Connect",,
"88","Jazz Panesar","Health & Beauty","London","Asian bridal hair and makeup artist catering to modern and traditional styles","Contact via website/socials","Muslim Connect",,
"89","Kajol R Paswwan","Health & Beauty","London","Specialized bridal makeup services and professional training","Contact via website","Muslim Connect",,
"90","Albay Bakery","Food & Drinks","London","Muslim-friendly bakery offering halal pastries and breads","Visit store","Muslim Connect",,
"91","Doga Patisserie","Food & Drinks","London","Halal-compliant patisserie serving cakes and desserts","Visit store","Muslim Connect",,
"92","Yasar Halim Patisserie","Food & Drinks","Harringay, London","High-quality halal desserts and baked goods","Visit store","Muslim Connect",,
"93","Prestige Patisserie","Food & Drinks","London","Halal-compliant baked goods and artisan desserts","Visit store","Muslim Connect",,
"94","Cake Box Tottenham","Food & Drinks","Tottenham, London","Egg-free and halal-compliant fresh cream cakes","Visit store","Muslim Connect",,
"95","Flame ‘Inn’ Karahi","Food & Drinks","London","Authentic halal Indian cuisine in a family-friendly setting","Visit restaurant","Muslim Connect",,
"96","Hajee Talib Fish & Chips","Food & Drinks","London","Traditional fish and chips cooked to halal standards","Visit restaurant","Muslim Connect",,
"97","Sammy’s Chicken n Shakes","Food & Drinks","London","Halal comfort food, chicken and shakes","Visit restaurant","Muslim Connect",,
"98","98 Sizzle","Food & Drinks","London","Casual dining serving high-quality halal sizzler dishes","Visit restaurant","Muslim Connect",,
"99","Toronto Crispy","Food & Drinks","London","Halal fried chicken and fast food","Visit restaurant","Muslim Connect",,
"100","Nordens Chartered Accountants","Services","Redbridge, London","Trusted accounting and financial services","Contact via website","Muslim Connect",,
"101","Remote Accounting Ltd","Services","Redbridge, London","Finance and accounting services for businesses and individuals","Contact via website","Muslim Connect",,
"102","Ummah Catering","Services","Walthamstow, London","Halal catering service specializing in high-quality food and event decorations","Visit Unit 30, Walthamstow Business Centre","Muslim Connect",,
"103","Zam Zam Halal Meat & Poultry","Shopping","Newham, London","Premier halal meat shop offering fresh poultry and meat","Visit 855 Romford Rd","Muslim Connect",,
"104","Nimat Halal Meat","Shopping","Newham, London","Trusted local halal meat provider","Visit 29 Barking Rd","Muslim Connect",,
"105","Online Meat Shop","Shopping","Newham, London","High-quality halal meat provider with online services","Visit 328 High Street North","Muslim Connect",,
"106","Leyton Leisure Lagoon","Health & Beauty","Waltham Forest, London","Hosts weekly 'Sisters Swim' sessions for women only","Check schedule for Sisters Swim","Muslim Connect",,
"107","Camberwell Leisure Centre","Health & Beauty","Southwark, London","Offers swimming pool sessions closed to all but women","Check schedule for women-only sessions","Muslim Connect",,
"108","Clissold Leisure Centre","Health & Beauty","Hackney, London","Faith and culturally sensitive swimming lessons for children and women","Inquire about culturally sensitive lessons","Muslim Connect",,
"109","Oasis Sports Centre","Health & Beauty","Camden, London","Provides modest family swimming sessions","Check family swim schedule","Muslim Connect",,
"110","Aspire Centre","Health & Beauty","Southfields, London","Swim groups specifically for community-led Muslim women","Inquire about Muslim women groups","Muslim Connect",,
"111","Berenjak London","Food & Drinks","Soho, London","Authentic Persian cuisine with halal options","Visit restaurant","Muslim Connect",,
